rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
135,USDY / US Dollar Yield,Ondo Yield Assets,Arbitrum,$5.59m,5590000,3.55,3.55,3.55,3.55,,3.55,,3.55,,,,,
136,USDC,Aave V3,Base,$23m,23000000,3.4,3.4,3.33,,,3.4,,3.33,175640000,152770000,22880000,,
137,USDPY,Toros,Op Mainnet,$1.08m,1080000,3.33,1.86,,,,,,1.86,,,,,
138,WYLDS,Hastra,Solana,$1.85m,1850000,3.26,3.26,3.29,,,3.26,,3.29,,,,,
139,CUSDO,OpenEden USDO,Solana,$5.7m,5700000,3.25,3.25,3.24,3.23,,3.24,,3.23,,,,,
140,GTUSDCC,Morpho Blue,Unichain,$1.09m,1090000,3.19,3.19,6.17,,,3.19,,6.17,1620031.6806737224,,6378239.46,0,"{""kHYPE"":23.18,""UBTC"":49.78,""WHYPE"":27.04}"
141,USDS,Kamino Lend,Solana,$1.86m,1860000,3.18,3.18,2.35,,,3.18,,2.35,10420000,8550000,1860000,,
142,EARNAUSD / earnAUSD/AUSD,Curvance,Monad,$15.6m,15600000,3.17,0,3.17,2.01,,3.17,,2.01,,,,,
143,USDC,Aave V3,Arbitrum,$18.4m,18400000,3.16,3.16,4.1,,,3.16,,4.1,165760000,147320000,18440000,,
144,USDT / Main Pool,Save,Solana,"$670,803",670803,3.08,3.08,3.13,,,3.08,,3.13,3740000,3070000,670739,,
145,USDC / Euler Earn USDC,Euler V2,Arbitrum,"$592,457",592457,3.05,3.05,3.52,,,3.05,,3.52,,,,,
146,DAI,Aave V3,Arbitrum,"$500,346",500346,3.01,3.01,4.11,,,3.01,,4.11,3350000,2850000,500355,,
147,GTUSDCP,Morpho Blue,Arbitrum,$2.08m,2080000,2.9,2.9,3.61,,,2.9,,3.61,2047419.7208588137,,62943202.35,0,"{""sUSDS"":0.22,""WBTC"":94.18,""WETH"":3.91,""wstETH"":1.68}"
148,MSUSD-USDC / CL50 - 0.05%,Aerodrome Slipstream,Base,$23.67m,23670000,2.75,0.62,2.13,0.49,2.91,0.49,,2.91,,,,,
149,USDT,Aave V3,Op Mainnet,"$829,989",829989,2.72,2.72,2.55,,,2.72,,2.55,4850000,3910000,941275,,
150,EARNAUSD,Neverland,Monad,$3.58m,3580000,2.68,0,2.68,3.42,,2.68,,3.42,3580000,0,3580000,,
151,USDC,Revert Lend,Base,$2.56m,2562435,6.59,6.59,0,6.81,,7.199999999999999,,,2562435,,,,
152,baseUSD,Tokemak,Base,$6.23m,6232111,5.52,3.75,1.77,6.93,,7.000000000000001,,,6232111,,,,
